job_id,salary_in_usd,salary_in_gbp
job_1,95012,75398
job_2,186000,148297
job_3,81800,65219
job_4,212000,169027
job_5,93300,74388
job_6,130000,103649
job_7,100000,79730
job_8,224400,178914
job_9,138700,110585
job_10,210000,167433
job_11,168000,133946
job_12,224400,178914
job_13,138700,110585
job_14,43064,110585
job_15,36912,110585
job_16,95000,75743
job_17,75000,59797
job_18,300000,239190
job_19,234000,186568
job_20,140000,111622
job_21,120000,95676
job_22,204500,163048
job_23,142200,113376
job_24,155000,123581
job_25,110000,87703
job_26,266500,212480
job_27,152000,121189
job_28,222200,177160
job_29,136000,108432
job_30,273400,217982
job_31,182200,145268
job_32,167500,133547
job_33,106500,84912
job_34,185900,148218
job_35,129300,103091
job_36,185000,147500
job_37,79600,63465
job_38,122000,97270
job_39,94500,75344
job_40,247300,197172
job_41,139700,111382
job_42,176000,140324
job_43,100000,79730
job_44,204500,163048
job_45,142200,113376
job_46,247600,197411
job_47,127300,101496
job_48,223400,178117
job_49,186200,148457
job_50,167500,133547
job_51,106500,84912
job_52,185900,148218
job_53,129300,103091
job_54,72000,57405
job_55,64000,51027
job_56,179820,143370
job_57,143860,114699
job_58,283050,225676
job_59,188700,150450
job_60,133000,106041
job_61,58400,46562
job_62,141298,112657
job_63,115607,92173
job_64,100000,79730
job_65,75000,59797
job_66,266500,212480
job_67,144400,115130
job_68,71363,115130
job_69,55368,115130
job_70,287500,229224
job_71,156000,124378
job_72,90000,71757
job_73,70000,55811
job_74,199000,158662
job_75,162000,129162
job_76,170884,136245
job_77,113923,90830
job_78,184000,146703
job_79,123000,98068
job_80,235750,187963
job_81,174250,138929
job_82,165000,131554
job_83,118800,94719
job_84,225000,179392
job_85,150000,119595
job_86,213900,170542
job_87,116800,93124
job_88,220000,175406
job_89,150000,119595
job_90,150000,119595
job_91,100000,79730
job_92,247500,197331
job_93,172200,137295
job_94,155000,123581
job_95,120000,95676
job_96,226700,180748
job_97,133300,106280
job_98,184000,146703
job_99,123000,98068
job_100,130000,103649
job_101,117000,93284
job_102,160000,127568
job_103,140000,111622
job_104,166000,132351
job_105,73000,58202
job_106,185900,148218
job_107,129300,103091
job_108,130000,103649
job_109,104000,82919
job_110,143000,114014
job_111,116000,92486
job_112,165000,131554
job_113,118800,94719
job_114,220000,175406
job_115,180000,143514
job_116,184000,146703
job_117,123000,98068
job_118,215000,171419
job_119,200000,159460
job_120,253000,201717
